roll,pitch,yaw,gx,gy,gz,ax,ay,az,flex0,flex1,flex2,flex3,flex4,index_inside,middle_fingerprint,middle_inside_to_ring,ring_tape ,label
-0.0006408607627094,0.0278904898158437,0.0045145159140699,1.1649625323902235,-0.787134953428111,0.4514671895791013,-0.886474609375,-0.3046875,0.053955078125,758,1019,1023,1023,1021,1,0,0,0,A
-0.0035913661536498,0.0510181527817153,-0.0005189425283077,0.874886196512361,-1.2833181595349812,-0.5027312837033413,-0.90380859375,-0.2939453125,0.052734375,761,1022,1016,1023,1023,1,0,0,0,A
-0.0288126617068111,0.0761118459796732,-0.003348033069092,-1.323587085930387,-1.0772112893059735,-0.2813572379018145,-0.889404296875,-0.297119140625,0.052978515625,759,1019,1023,1023,1023,1,0,0,0,A
-0.0321393186582,0.136763760508469,0.0056392424795459,0.9359548988024372,2.5029413824497517,0.9018488689684144,-0.879638671875,-0.313720703125,0.057373046875,753,1023,1023,1021,1022,1,0,0,0,A
-0.041526995751253,0.1489154338757634,0.0009781923612406,0.2260312346802999,-2.3825548007563557,-0.4645633447720436,-0.89306640625,-0.288818359375,0.04052734375,751,1021,1023,1023,1023,1,0,0,0,A
-0.0635888204343482,0.1841205654694619,-0.0043915887100272,-1.0182435744800054,-0.0695777015197141,-0.5332656348483795,-0.890380859375,-0.294189453125,0.037353515625,745,1021,1023,1021,1022,1,0,0,0,A
-0.0477926291167775,0.2218175476489317,-0.004186989158324,2.775649555290987,0.1823306954268507,0.0239862735485669,-0.894775390625,-0.29833984375,0.0556640625,753,1023,1021,1023,1021,1,0,0,0,A
-0.0781484130376966,0.2339021012086435,-0.007869437615594,-1.850304643182296,-2.3825548007563557,-0.3653267035506695,-0.893310546875,-0.29443359375,0.050048828125,759,1023,1023,1022,1019,1,0,0,0,A
-0.088551102677478,0.2652536722760862,0.0027806667100473,0.2031304713215213,-0.4359899152601721,1.0697878002661243,-0.884033203125,-0.30908203125,0.0439453125,753,1018,1023,1019,1016,1,0,0,0,A
-0.0883985170886416,0.2978827582876912,0.011370206109954,1.1496953568177046,-0.3443868618250576,0.8636809300371167,-0.899169921875,-0.283935546875,0.053955078125,756,1023,1020,1023,1022,1,0,0,0,A
-0.107151914835587,0.313420287944859,0.0057789374683835,-0.7434344141746618,-2.054310525947195,-0.5561663982071581,-0.90771484375,-0.283935546875,0.047607421875,757,1023,1022,1023,1019,1,0,0,0,A
-0.1185972369626616,0.3375820082169016,0.0025360089033992,0.0809930667413686,-1.1611807549548288,-0.3195251768331124,-0.88232421875,-0.3017578125,0.04638671875,750,1021,1021,1021,1023,1,0,0,0,A
-0.121277366710128,0.3766506311004728,0.004528362401587,0.9512220743749564,0.3273688633657819,0.207192380418796,-0.9013671875,-0.307373046875,0.060791015625,756,1021,1023,1023,1023,1,0,0,0,A
-0.1480752042061209,0.3901223529009847,-0.0005320592666418,-1.4991596050143567,-2.2451502206036835,-0.5027312837033413,-0.894287109375,-0.29296875,0.058837890625,756,1023,1022,1021,1023,1,0,0,0,A
-0.1738726966743211,0.412014372135171,0.0037743685311282,-1.3159534981441277,-1.3749212129700958,0.4362000140065822,-0.8857421875,-0.31494140625,0.060302734375,744,1022,1023,1021,1023,1,0,0,0,A
-0.2002605302693136,0.4574595041605881,0.0104561330811005,-1.476258841655578,0.9456894740528048,0.6804748231668876,-0.893310546875,-0.2900390625,0.052734375,751,1022,1023,1023,1021,1,0,0,0,A
-0.2025259308892278,0.4811464439607751,0.0127024828099081,0.9817564255199944,-1.2146158694586453,0.2300931437775746,-0.90478515625,-0.3056640625,0.0458984375,757,1023,1023,1021,1021,1,0,0,0,A
-0.2106953681764157,0.5143161869030259,0.0179670615792012,0.340535051474193,-0.2833181595349813,0.5354366552279564,-0.888916015625,-0.287109375,0.05419921875,753,1022,1023,1022,1022,1,0,0,0,A
-0.2248224019372889,0.5493095019614896,0.0167190270995426,-0.1632817424189367,-0.0695777015197141,-0.1134183066041047,-0.89208984375,-0.31201171875,0.0615234375,754,1022,1021,1023,1022,1,0,0,0,A
-0.2448011172258726,0.5736272444811633,0.0148263004374808,-0.8197702920372574,-1.1611807549548288,-0.1821205966804406,-0.88525390625,-0.289794921875,0.05615234375,755,1022,1021,1022,1022,1,0,0,0,A
-0.2658218608765437,0.5961513367621948,0.0199562023446003,-0.8655718187548147,-1.3214860984662788,0.5201694796554373,-0.89453125,-0.31103515625,0.0390625,760,1022,1021,1022,1022,1,0,0,0,A
-0.2682080658142177,0.6406728872011538,0.0316363408082134,0.9283213110161778,0.8540864206176905,1.1842916170600173,-0.8876953125,-0.29150390625,0.039794921875,758,1022,1022,1021,1023,1,0,0,0,A
-0.2990398790482627,0.6610704980015504,0.0340270244053802,-1.9190069332586317,-1.5581273198403247,0.2453603193500937,-0.9013671875,-0.29248046875,0.04052734375,757,1023,1022,1021,1022,1,0,0,0,A
-0.294472688008187,0.6806260466960511,0.0389481719720971,1.645878562924575,-1.6344631977029205,0.4972687162966586,-0.88671875,-0.29541015625,0.04296875,749,1021,1021,1022,1021,1,0,0,0,A
-0.3072138699990324,0.6962930373147427,0.0433504694616022,-0.1098466279151199,-2.0314097625884164,0.4438336017928418,-0.89599609375,-0.29150390625,0.05615234375,751,1023,1021,1023,1021,1,0,0,0,A
-0.3257175451855722,0.705524800839648,0.0403080326672766,-0.6823657118845856,-2.672631136634218,-0.3042580012605933,-0.89892578125,-0.291015625,0.06103515625,756,1022,1023,1022,1023,1,0,0,0,A
