label,roll,pitch,yaw,gx,gy,gz,ax,ay,az,flex0,flex1,flex2,flex3,flex4,index_inside,middle_fingerprint,middle_inside_to_ring,ring_tape
C,-1.2323223574013318,6.175006087837062,0.1376907025997412,2.9741928706492047,1.4363400798375234,0.7802016947965549,-0.890869140625,-0.158203125,0.184326171875,1022,1023,1022,820,906,0,0,0,0
G,-6.530804697142613,17.25395071171579,-4.272386913615484,0.0805060785976815,-0.3418857789086799,-0.3193737630760531,-0.379150390625,-0.8974609375,-0.266845703125,1023,845,1021,1023,1021,0,1,0,0
I,-10.503953108863668,20.474694619066835,1.0326405246521089,-0.2828297041545015,4.012101171421533,2.126640166039328,-0.966064453125,-0.08984375,-0.164306640625,1022,1022,1022,1021,593,1,1,0,0
D,-4.400465161946999,8.57393708119142,-0.0332895646994721,0.2169211195928753,2.3781099802092163,0.5080576759966076,-0.838134765625,-0.28466796875,0.25830078125,1023,915,1023,1000,1023,0,1,0,0
Q,-2.469633339907093,-5.69172618253452,-1.157378497966958,1.2274598093361946,0.853765786048475,-0.514299785415274,0.591796875,-0.179443359375,0.659423828125,644,711,1022,1023,1023,0,1,0,0
Y,-31.259335449086745,75.8903976104135,-18.92730707850746,4.401894260672886,0.6902035623409669,1.5703633022335317,-0.915771484375,-0.299072265625,-0.298583984375,689,1022,1023,1023,351,1,1,0,0
I,-14.081602527735209,33.57129475791851,-1.9726109607192883,3.035482046932429,4.018447837150127,-0.3609344076901324,-0.96630859375,-0.087646484375,-0.095947265625,1020,1022,1023,1023,304,1,1,0,0
C,-1.292734771544023,5.719565895199859,0.1318130248218635,-0.2853491140836195,-2.1819805308495,-0.4488059387912315,-0.894287109375,-0.21484375,0.17919921875,1023,1023,1023,811,902,0,0,0,0
U,-3.441136703113556,3.0815424326784635,-1.8370659123796624,-6.463714074647346,-0.8685756499102966,-0.5114152038554891,-0.960693359375,-0.033447265625,-0.212158203125,1022,741,538,1021,1022,1,0,0,0
Q,-8.926454212936413,14.615455885993873,-0.1953656970048808,1.2985975501508975,0.7729806497425883,-0.7289898810580512,0.36474609375,-0.7294921875,0.44287109375,598,1021,1023,1023,1022,0,1,0,0
O,-64.99004392369135,60.46201072732388,-4.526665799437205,0.6195518345235165,-0.2376613782671403,-0.914412354451754,-0.798095703125,-0.521728515625,-0.012451171875,1023,1023,1023,875,1022,1,0,0,0
F,-8.778968797840546,25.06721577609366,-1.0108079418030858,-2.077396098388465,0.3581424936386768,0.0683488832343794,-0.92431640625,-0.265625,-0.254150390625,708,1021,1022,1022,698,0,0,0,0
N,-20.61685286091832,55.98566419087789,-8.780728835636108,-1.682075204975968,1.6444020356234097,3.1810503251342954,-0.948486328125,-0.206787109375,-0.085205078125,1008,1023,1023,1023,1023,1,0,1,0
Z,-94.71094340468494,73.77837031711402,-49.05052696805916,1.7252968617472455,-3.597222222222221,-1.7237065309584396,-0.33935546875,-0.404541015625,0.7021484375,894,537,1023,1021,996,0,1,0,0
T,-25.19291078911326,31.633011642141405,3.210955002064723,-0.042620865139949,4.584216850438224,-2.209499575911789,-0.917236328125,-0.265625,0.066162109375,1022,1022,1023,1022,1021,0,1,0,0
L,-67.52347908264507,69.26473860323765,-17.67924074557461,2.7193513209272884,-0.172265803637387,2.8311112674569943,-0.841552734375,-0.3291015625,0.130615234375,474,469,1023,1023,1022,0,1,0,0
U,-11.065635892622764,13.871154216830286,3.984057360643729,0.9768191049793408,-1.9619721268996428,1.7060018208558023,-0.9345703125,-0.2138671875,-0.046875,893,686,507,1022,1021,1,0,0,0
Z,0.5978909720035206,2.30832851219086,-0.6631518102279583,8.609556121006504,7.295130053717838,-1.8118108566581856,-0.734619140625,-0.531005859375,0.262939453125,1022,531,1023,1023,1021,0,1,0,0
A,-0.9144012258151648,3.4058146804499154,-0.3116099938196947,-1.5742154368108574,-0.8550678541136556,-1.623939779474131,-0.94189453125,-0.17578125,-0.089599609375,755,1023,1022,1023,1023,1,1,0,0
T,-26.004557506357315,33.29508734046272,2.7125113187060514,1.6291348600508908,-1.6218900197907833,0.7294317217981343,-0.90234375,-0.2587890625,0.054931640625,1021,1023,1023,1023,1023,0,1,0,0
D,-2.411607175002647,8.692742189700331,1.0299522389668554,-0.6332343794175855,0.656629912355103,0.2855173876166228,-0.86474609375,-0.348388671875,0.027099609375,992,444,1023,1023,1022,0,1,0,0
D,-0.5947007895832819,2.150162708757798,-0.2540350615324354,0.5766892847045517,-1.0289086796720386,-0.6857859768165112,-0.918212890625,-0.285400390625,-0.084228515625,1022,940,1021,1023,1023,0,1,0,0
X,-59.59863348994824,64.38872091286143,-19.613227170448475,0.543778801843319,0.1407112955992542,0.8082105040982158,-0.587646484375,-0.538330078125,0.4091796875,1021,1021,1023,911,1023,0,1,0,0
J,-13.99409116615296,3.4732273341595072,-7.307389482668441,-26.499111157586533,-3.137195440761269,-18.09697096448116,-0.7822265625,-0.71630859375,-0.2529296875,1023,1023,1021,1019,538,1,1,0,0
G,-1.597128944665401,0.8356841069861838,-0.2407406586110415,0.6521569323628624,-0.3320433161725548,-0.578093378306409,-0.453857421875,-0.86279296875,-0.241455078125,699,854,1015,1023,1022,0,1,0,0
R,-53.11172516477643,61.07414149976074,-32.33169742300901,-5.68256997455471,-9.324674865705395,-1.8143553859202712,-0.9521484375,-0.0859375,-0.242919921875,1022,587,1021,1021,1023,0,1,0,0
U,-10.694083557673368,11.936940765291986,3.7515244436811934,0.4501015477274322,-0.893269836823307,0.7060018208558027,-0.94091796875,-0.20751953125,-0.04541015625,912,709,517,1023,1021,1,0,0,0
D,-53.78203433331706,65.7048739312873,1.895880053151839,2.1850001758891207,0.5223906849122314,1.205157068983712,-0.81494140625,-0.45703125,0.09228515625,1023,612,1023,1023,1023,0,1,0,0
P,-0.3699772490295261,0.324341491184689,0.0036760966153007,2.834967434694306,2.4977589467049515,-1.1706702150010502,-0.291259765625,-0.62646484375,0.537109375,1021,729,1021,971,1023,0,0,0,0
D,-0.6551601131127152,11.232948316615214,0.541801708183367,-0.2986597249094149,-0.9877581172828652,-2.1342385760016898,-0.904052734375,-0.274169921875,-0.017578125,1023,685,1023,1023,1023,0,1,0,0
E,-2.5437026355876653,13.246534971905634,-0.493499848552502,4.346600390555654,2.4350079886383806,-0.7512870584058231,-0.924072265625,-0.166748046875,0.010986328125,1022,1019,1023,968,963,1,1,0,0
D,3.5096519255613026,7.862269011301683,6.085819890212946,-0.5402449849103514,5.061459257944257,5.874560624889046,-0.837158203125,-0.22509765625,0.253173828125,1021,449,1022,1022,1022,0,1,0,0
E,-56.11134661338244,66.31461948230749,-1.891219671050216,5.03232842016393,-1.7447848876068526,-0.3749956027720134,-0.748779296875,-0.371826171875,0.334716796875,1023,1022,1023,1022,1023,1,0,0,0
Q,-4.54395527591239,2.6420338526167253,1.363316586014457,-0.8963863015617339,3.291582043560473,2.32939981791442,0.461669921875,-0.411376953125,0.64990234375,573,906,1023,1022,1021,0,1,0,0
D,-38.28108314685268,48.50144486688507,-7.029106682144263,-2.6628909135680865,-1.74147817216027,-2.1586871636120595,-0.88232421875,-0.256591796875,0.09765625,1023,561,1021,1021,1023,0,1,0,0
REST,-4.166317988574533,0.4125900342374496,-22.74145979789736,-0.3102684067963556,3.470644105955605,1.356245822633412,-0.936767578125,-0.254150390625,-0.1494140625,763,483,592,430,766,0,0,0,0
T,0.0063700909992077,-0.0445292855515819,0.4254043529398812,0.0138888888888887,-0.9598529827537456,5.830400056545095,-0.92919921875,-0.067626953125,-0.23876953125,842,1020,1023,1020,1023,0,1,0,0
C,-1.9764406431188573,17.817414121672563,-1.6842490272360635,1.2335021759292288,-0.0017835485481915,-0.1154669330099164,-0.816650390625,-0.1552734375,0.3447265625,954,836,892,982,494,0,0,0,0
K,-20.45381579123223,0.6973785229462147,3.060770971760697,-0.2133854074205572,1.2986330552103675,0.7863660571631452,-0.857421875,-0.436767578125,-0.1630859375,899,427,344,1023,1023,0,0,0,0
P,-79.02454187516949,78.92698283587048,-42.60395615291484,1.3535371301931267,-1.5144053188869742,-0.1508776867062993,0.52734375,-0.354736328125,0.702880859375,573,860,573,1019,1023,0,0,0,0
Z,-64.80728077420731,65.6048535592282,-26.636480653342552,4.658282618637212,15.316283814683224,5.861645618602033,-0.4365234375,-0.483642578125,0.52587890625,978,478,1021,1021,1021,0,1,0,0
P,-49.550399401088015,64.35763921865556,-34.83168045402609,1.2475412746316368,1.960482868808805,0.1547665542339788,0.403564453125,-0.257080078125,0.724853515625,406,725,1023,1023,927,0,0,0,0
R,-12.918808701853443,12.604738637369683,-1.4155671396753455,-1.044913900230782,6.192827977986863,0.8206284395526359,-0.818359375,-0.44091796875,0.1611328125,961,713,453,1023,1023,0,1,0,0
V,-0.0798389970366237,0.6284977251355803,0.0902568321935011,3.0882764899502764,-0.4406120876812102,-0.2762098186147488,-0.873291015625,-0.266357421875,0.106689453125,1022,440,476,998,1021,0,0,0,0
