THUMB_FLEX,INDEX_FLEX,MIDDLE_FLEX,RING_FLEX,PINKY_FLEX,BACK_OF_HAND_GYR_X,BACK_OF_HAND_ACC_X,BACK_OF_HAND_GYR_Y,BACK_OF_HAND_ACC_Y,BACK_OF_HAND_GYR_Z,BACK_OF_HAND_ACC_Z,SIGN
254.81508075639857,1005.600195312707,1005.5031290176132,1004.4159257930175,1005.5516731383434,12565.619589340808,16300.325242764808,18008.44435817773,17204.24210421551,17814.595534890854,15486.57479127088,A
266.28435964517183,1005.5000001462807,1005.425013017868,1003.416153771778,1005.8000030525185,10730.690413390945,15957.783021490523,17425.28629594025,12887.178314817897,17633.70784727124,19685.491202816174,A
283.7157708632214,1005.500830230133,1005.2001602649968,1005.0075683724378,1005.5626953125542,18219.69551486255,17298.76054640933,16932.144996891722,16549.763836576785,15898.090975747677,18791.28672071574,A
273.4968890291017,1005.4125000838346,1005.4630859885987,1004.4517713878643,1005.409430894271,13594.892648620971,14283.418231420428,13291.638864232029,17061.770375432803,18173.424259243206,15532.983095615995,A
272.24794519818624,1005.5650390781617,1005.5037109852021,1004.4791088587062,1004.9221582653623,17330.463011749125,19581.931763417444,17831.310804744022,13033.058481064154,16408.50231012423,21640.578154931634,A
273.83354538187416,1005.5504425050867,1005.7000129722213,1004.552240052279,1005.5531402602946,14210.95712415154,14588.173422837775,13751.134696582358,17155.74519247601,17972.83970578901,14131.879627532497,A
277.4446905966726,1005.5000526906146,1005.3001587184335,1004.0378047943539,1005.5629058869712,18500.180933053238,14462.26573527774,18291.540929404,13623.680043207976,14846.852134121698,18494.603753036085,A
266.0531585087904,1005.5094024777576,1005.1003952204871,1004.6637426376556,1005.206449747369,13426.335698621497,13725.802716563581,13411.92914663266,19022.05218005197,18586.133247655118,17195.988874063976,A
268.80168071112917,1005.6000030518353,1005.7375122070932,1005.1508369454172,1005.3500031027634,16192.40543317934,16427.040159901717,20778.723578032826,15114.479359971552,16208.554709319898,16047.226176957596,A
267.50708414717735,1005.8507812619364,1005.55333633797,1005.0509808093493,1005.6000032549995,13024.653850608178,17060.411938574143,15810.472843133504,16514.983369417332,13269.171066118175,15679.41162501062,A
267.2660777815339,1004.900000017907,1004.9774047886191,1003.6281778569739,1004.3432739293427,12085.462851505446,15087.477863672839,19643.903375952905,13091.459940346173,16325.249282959776,17149.603988520154,A
266.96764648959504,1005.6095705151741,1005.4500032439994,1004.0824372434387,1005.351001038468,14887.169604010798,18853.585125241803,14162.167784228961,18504.35276835187,16585.62884564383,17910.731704547747,A
267.61740838978943,1005.7125122102598,1005.703137219899,1004.4266391889196,1005.5507815242092,16248.885907633037,13029.057235736878,19937.393938626123,16830.549241980432,15964.913286167313,17680.771098497342,A
260.82812878470816,1005.0335976364371,1004.5001480127839,1004.8030773177936,1005.300196409986,16536.40825786551,19293.694179948718,15216.557274310548,19395.242482200185,16609.743784090417,13800.128693783681,A
253.16583558513472,1005.3011383541113,1005.3502480179732,1004.2252489412749,1005.43751527246,13125.948919306325,18217.19255489944,16926.163223273637,16928.0381219668,17368.86685110299,13513.954305057337,A
249.63234454785237,1005.5000612385727,1005.0658234329621,1004.406715069852,1005.6023439408436,16260.71585799992,18327.503526206867,16372.813947437735,15341.40431833126,17101.189129938888,14781.25376684074,A
250.7029783850889,1005.5523590089917,1005.2001099109893,1004.550101141044,1005.2005859375176,21145.38855367604,13457.666198177476,19756.646994597417,14341.031407619977,15758.687460481207,14909.57835410933,A
250.47447592020131,1005.7031738758366,1005.5001251228308,1004.0049225100513,1005.1535187723155,10633.618809660222,13343.795031694288,17249.835944305585,15463.433520014796,19973.357999706175,19355.392152833072,A
247.88726884438657,1005.1750003397622,1005.4086067678679,1004.9508300975136,1005.3001954585527,15213.723582589912,17529.119808813455,16630.699103240247,11748.836759475085,14672.510716512901,17373.603897030807,A
247.7525013865889,1005.1399414213581,1003.1978548111574,1004.5142220801247,1004.2074485937812,15104.073243484887,18818.953825614954,14776.503525856093,15341.08631243712,17396.0344079531,15194.281056476812,A
249.31355692966304,1005.463525394002,1005.6507843040087,1004.964078572781,1004.8000007668082,13895.333442438796,17001.577913911944,15959.321041664207,16298.75304807691,13334.009076883493,15683.774077504917,A
181.6958332339337,1005.6500123501212,1005.2500488287463,1004.3626476650691,1005.6000009062042,16960.860084503252,15900.837358410548,18922.643474751436,17792.31049700373,17557.84925413992,15547.52601035206,A
174.49936443566065,1005.4639282286323,1005.6626984268581,1004.3004921686334,1005.6570434578034,18674.076338758998,16471.451502867138,14273.551704208905,13667.23223345518,14738.879172690857,14084.597944077095,A
170.1164194906777,1005.9000122070468,1005.3523437783415,1004.7378429537797,1005.9500000000155,14979.52359896691,15632.53034912935,15564.129814636777,19334.660191205236,14568.27223865408,16380.780598100164,A
172.6051592622727,1005.5032728225148,1005.8031738758242,1004.7259949509213,1005.6002565862767,15777.74611699158,19589.60430206119,12295.320237991826,17834.95501517327,15433.787075624132,16355.317738837159,A
171.42317732578712,1005.275782778924,1005.3886856079295,1004.7593849390923,1005.3504518511021,16725.68945945463,15613.214421247034,15795.2455088883,16417.086741050887,15449.139370707591,17495.993176216954,A
166.54994689938076,1005.5507822037741,1005.5041053773177,1004.5099750518988,1005.662548876616,18092.262006115812,15547.62164845011,15884.194291624206,17504.391186616805,14735.986443067868,13006.825946416688,A
